run_number,batch,seed,tier,n_classes,n_features,n_train,n_test,rf_accuracy,rf_precision,rf_recall,rf_f1,gnn_accuracy,gnn_precision,gnn_recall,gnn_f1,fulp_accuracy,fulp_precision,fulp_recall,fulp_f1,avg_confidence,avg_contradiction,avg_symposium_size,avg_contradiction_passes,avg_exploration_rate,avg_role_diversity,role_entropy,dirichlet_concentration,belief_divergence,acc_vs_rf,acc_vs_gnn,f1_vs_rf,f1_vs_gnn
28,3,70,M,3,5,300,100,0.79,0.6506493506493507,0.6626768069599286,0.6517857142857143,0.83,0.6654040404040403,0.6501454786391265,0.6273255236512094,0.69,0.5151260504201681,0.534396335666753,0.522603830125954,0.8313090832904609,0.19156218781613477,2.56,1.39,0.05437163659385881,0.11111111111111108,,,,-0.10000000000000009,-0.14,-0.12918188415976029,-0.1047216935252554
29,3,71,S,2,3,150,50,0.92,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.96,1.0,0.9166666666666666,0.9565217391304348,0.8,0.8181818181818182,0.75,0.782608695652174,0.9003307349349678,0.20867717767543223,2.36,1.34,0.05246187363834423,0.1111111111111111,,,,-0.12,-0.15999999999999992,-0.13405797101449268,-0.17391304347826086
30,3,72,M,3,5,300,100,0.81,0.7983650059921246,0.7150178253119429,0.7343434343434344,0.82,0.8732758620689656,0.6750594177064766,0.6568732865075707,0.74,0.6833333333333332,0.6442736185383244,0.6516087868015678,0.8102350092758139,0.16595532653995027,2.52,1.42,0.05552956465237167,0.11111111111111109,,,,-0.07000000000000006,-0.07999999999999996,-0.08273464754186666,-0.005264499706002956
31,4,73,L,4,6,600,200,0.615,0.6412698412698412,0.615,0.6220019277406603,0.635,0.6255944871640834,0.635,0.6271489277944093,0.61,0.6179742678534672,0.61,0.6119844128838989,0.5975979627766056,0.18421685688190548,3.82,1.745,0.054792487522983976,0.11111111111111112,,,,-0.0050000000000000044,-0.025000000000000022,-0.01001751485676139,-0.015164514910510407
32,4,74,L,4,6,600,200,0.735,0.7370879120879121,0.7350000000000001,0.7359477124183007,0.71,0.7050209618731212,0.71,0.7048912429096761,0.575,0.5789522005364556,0.575,0.5724992578588552,0.6115774094479209,0.1710478354487445,3.46,1.63,0.05442537388336846,0.11111111111111113,,,,-0.16000000000000003,-0.135,-0.16344845455944546,-0.13239198505082084
33,4,75,M,3,5,300,100,0.79,0.6736111111111112,0.6585858585858586,0.6563814866760168,0.82,0.8718723037100949,0.6595959595959596,0.6248309668695065,0.78,0.6509926854754441,0.6474747474747474,0.642868848621061,0.7966207137265975,0.22375152732047326,2.64,1.44,0.05408611863896417,0.1111111111111111,,,,-0.010000000000000009,-0.039999999999999925,-0.013512638054955839,0.01803788175155452
34,4,76,M,3,5,300,100,0.77,0.6648589024726538,0.6771604938271606,0.6569389480805006,0.78,0.5166666666666666,0.6246913580246914,0.5609554508637077,0.72,0.6384274640088594,0.6560185185185184,0.6348601107815908,0.792434310611521,0.19885183545140506,2.56,1.39,0.05203228869895537,0.11111111111111108,,,,-0.050000000000000044,-0.06000000000000005,-0.022078837298909804,0.07390465991788309
35,4,77,L,4,6,600,200,0.725,0.7195171171917043,0.725,0.7199797878338559,0.645,0.6347627518388231,0.645,0.6369371334531854,0.62,0.6255299070847851,0.6200000000000001,0.6169313766324953,0.6242927865906706,0.17874506142619112,3.42,1.63,0.053223140495867766,0.11111111111111115,,,,-0.10499999999999998,-0.025000000000000022,-0.10304841120136055,-0.020005756820690057
36,4,78,M,3,5,300,100,0.78,0.6811858807163972,0.6006663769375634,0.5830957056262273,0.77,0.5185740463101782,0.5927857453281181,0.553125,0.72,0.5844748858447488,0.5380848906272635,0.5479797979797979,0.7964268165210748,0.18235975139569993,2.36,1.34,0.05212781408859841,0.1111111111111111,,,,-0.06000000000000005,-0.050000000000000044,-0.035115907646429356,-0.005145202020202078
37,4,79,L,4,6,600,200,0.73,0.7240352860241736,0.73,0.7238963785355538,0.65,0.6374731416118882,0.6499999999999999,0.6408708871762904,0.525,0.5199335548172758,0.525,0.5179289387564282,0.6182160028104071,0.169929885638738,3.66,1.675,0.05443098486958136,0.11111111111111112,,,,-0.20499999999999996,-0.125,-0.20596743977912557,-0.12294194841986217
38,4,80,L,4,6,600,200,0.71,0.7036685798478252,0.71,0.7060166668330927,0.675,0.6700039032006245,0.675,0.6634923465962265,0.61,0.6186348223499927,0.61,0.6079240579363049,0.6000361620422683,0.1715536879611792,3.68,1.73,0.05616362631288005,0.11111111111111112,,,,-0.09999999999999998,-0.06500000000000006,-0.09809260889678784,-0.05556828865992158
39,4,81,S,2,3,150,50,0.94,0.9655172413793104,0.9333333333333333,0.9491525423728814,0.98,0.967741935483871,1.0,0.9836065573770492,0.9,0.9310344827586207,0.9,0.9152542372881356,0.9081275481132054,0.20376563166260403,2.2,1.3,0.05374485596707819,0.11111111111111113,,,,-0.039999999999999925,-0.07999999999999996,-0.03389830508474578,-0.06835232008891357
40,4,82,L,4,6,600,200,0.745,0.752772676612469,0.745,0.7471757134235516,0.63,0.6167986931614751,0.6299999999999999,0.6200813014646553,0.7,0.7150974025974025,0.7,0.7024561147403379,0.5958353537229149,0.2096541608377695,3.86,1.735,0.05544936544936545,0.11111111111111112,,,,-0.04500000000000004,0.06999999999999995,-0.044719598683213735,0.08237481327568252
41,5,83,L,4,6,600,200,0.69,0.6939490568954855,0.69,0.6914759843331272,0.7,0.7023273018884973,0.7,0.6936088114491079,0.535,0.5612025722931178,0.535,0.5378228542291041,0.6014986552083406,0.17459716886466872,3.58,1.66,0.05511292946693463,0.11111111111111113,,,,-0.15499999999999992,-0.16499999999999992,-0.15365313010402304,-0.15578595722000377
42,5,84,M,3,5,300,100,0.82,0.7093449381584974,0.6601532567049809,0.6539843517455458,0.82,0.5508578431372549,0.6160919540229886,0.5813278716504523,0.77,0.5194292653309046,0.581992337164751,0.5483405483405482,0.8097352909854493,0.20201237646799325,2.12,1.3,0.05747795414462081,0.11111111111111112,,,,-0.04999999999999993,-0.04999999999999993,-0.10564380340499757,-0.03298732330990406
43,5,85,L,4,6,600,200,0.655,0.6533333333333333,0.655,0.6526859045504995,0.62,0.6177728521478522,0.62,0.6178423195854014,0.555,0.5954821300349755,0.555,0.5621299962581376,0.5800435777474509,0.18912878553795182,3.98,1.765,0.053514375673212364,0.11111111111111112,,,,-0.09999999999999998,-0.06499999999999995,-0.09055590829236182,-0.055712323327263724
44,5,86,L,4,6,600,200,0.685,0.6804428341384864,0.685,0.6821634615384615,0.555,0.5438365573310905,0.555,0.5474031157694524,0.615,0.6084152393271967,0.615,0.6029416747168242,0.6186490641742916,0.19141776574296324,3.42,1.62,0.05435057647178859,0.11111111111111115,,,,-0.07000000000000006,0.05999999999999994,-0.07922178682163727,0.05553855894737181
45,5,87,S,2,3,150,50,0.96,0.96,0.96,0.96,0.94,0.9230769230769231,0.96,0.9411764705882353,0.94,0.9230769230769231,0.96,0.9411764705882353,0.9231817028572429,0.17547984596755345,1.88,1.22,0.05425364758698092,0.11111111111111112,,,,-0.020000000000000018,0.0,-0.018823529411764683,0.0
46,5,88,L,4,6,600,200,0.705,0.7031306990881458,0.705,0.7030626337288466,0.71,0.7045013030087657,0.71,0.6910209693135253,0.615,0.6185515873015873,0.615,0.614879983982437,0.623879319123486,0.18934466459136545,3.06,1.575,0.05447920412321707,0.11111111111111112,,,,-0.08999999999999997,-0.09499999999999997,-0.08818264974640955,-0.07614098533108826
47,5,89,M,3,5,300,100,0.79,0.6121166415284062,0.6075533661740559,0.6012345679012346,0.84,0.578042328042328,0.6428571428571429,0.606959706959707,0.78,0.6078282828282829,0.595648604269294,0.5980838158257512,0.8263086883301441,0.1606953678079674,2.24,1.35,0.05690959776981282,0.11111111111111112,,,,-0.010000000000000009,-0.05999999999999994,-0.0031507520754834317,-0.008875891133955816
48,5,90,XL,5,11,1200,400,0.5275,0.5153459502069766,0.5279399502307807,0.5187854630235934,0.5025,0.4884174573055029,0.5035519932710424,0.49041917417746284,0.4625,0.43701732169283786,0.4620999687995674,0.4419134818904019,0.44090870851216046,0.15670033989287202,4.27,1.885,0.05461433910975196,0.11111111111111115,,,,-0.06499999999999995,-0.039999999999999925,-0.07687198113319149,-0.04850569228706092
49,5,91,L,4,6,600,200,0.655,0.6539543702096223,0.655,0.6543139908228518,0.625,0.6104503676470587,0.625,0.6115612560813799,0.62,0.6347613255402027,0.62,0.6251308775937561,0.5994759574564885,0.1914790475239712,3.7,1.725,0.05454275262917238,0.1111111111111111,,,,-0.03500000000000003,-0.0050000000000000044,-0.029183113229095725,0.013569621512376173
50,5,92,XL,5,11,1200,400,0.5775,0.5769585296690061,0.5767124164361153,0.5756258614076162,0.475,0.46590676328197844,0.47289740814255665,0.45974348555569045,0.4575,0.4554769316346287,0.45744578999971675,0.45510289346463856,0.4173997152414461,0.14847751362561348,4.53,1.95,0.054723183996082954,0.11111111111111113,,,,-0.12,-0.01749999999999996,-0.12052296794297762,-0.004640592091051887
